Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearExperience,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,TenureRatio,YearsSincePromotionRatio,IncomePerYear,IncomeToAge,WorkLifeScore
41,1,1102,1,2,2,94,3,2,4,5993.0,19479,8.0,11,3,1,0.0,8.0,0.0,1,6.0,4.0,0.0,5.0,749.125,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,0.75,0.0,71916.0,146.17073170731706,4
49,0,279,8,1,3,61,2,2,2,5130.0,24907,1.0,23,4,4,1.0,10.0,3.0,3,10.0,7.0,1.0,7.0,513.0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,1.0,0.1,61560.0,104.6938775510204,6
37,1,1373,2,2,4,92,2,1,3,2090.0,2396,6.0,15,3,2,0.0,7.0,3.0,3,0.0,0.0,0.0,0.0,298.57142857142856,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,0.0,0.0,25080.0,56.486486486486484,9
33,0,1392,3,4,4,56,3,1,3,2909.0,23159,1.0,11,3,3,0.0,8.0,3.0,3,8.0,7.0,3.0,0.0,363.625,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,1.0,0.375,34908.0,88.15151515151516,9
27,0,591,2,1,1,40,3,1,2,3468.0,16632,9.0,12,3,4,1.0,6.0,3.0,3,2.0,2.0,2.0,2.0,578.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.3333333333333333,1.0,41616.0,128.44444444444446,6
32,0,1005,2,2,4,79,3,1,4,3068.0,11864,0.0,13,3,3,0.0,8.0,2.0,2,7.0,7.0,3.0,6.0,383.5,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.875,0.42857142857142855,36816.0,95.875,8
59,0,1324,3,3,3,81,4,1,1,2670.0,9964,4.0,20,4,1,3.0,12.0,3.0,2,1.0,0.0,0.0,0.0,222.5,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,0.08333333333333333,0.0,32040.0,45.25423728813559,2
30,0,1358,24,1,4,67,3,1,3,2693.0,13335,1.0,22,4,2,1.0,1.0,2.0,3,1.0,0.0,0.0,0.0,2693.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,1.0,0.0,32316.0,89.76666666666667,9
38,0,216,23,3,4,44,2,3,3,9526.0,8787,0.0,21,4,2,0.0,10.0,2.0,3,9.0,7.0,1.0,8.0,952.6,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.9,0.1111111111111111,114312.0,250.68421052631578,9
36,0,1299,27,3,3,94,3,2,3,5237.0,16577,6.0,13,3,2,2.0,17.0,3.0,2,7.0,7.0,7.0,7.0,308.05882352941177,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.4117647058823529,1.0,62844.0,145.47222222222223,6
